f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26
109.0891494	98.003074	8	1	2	0.428571429	5.574408602	2.675461917	1.203430049	0	0	0	0	0	0	1	0	1	1	2	1	0	0	0	0	26.02
111.0684139	101.9979886	8	2	2	0.333333333	5.378121547	2.52343859	1.10336463	0	1	0	0	0	0	0	1	0	2	2	1	0	0	0	0	39.16
111.0684139	101.9979886	8	2	2	0.333333333	5.378121547	2.52343859	1.10336463	0	1	0	0	0	0	0	1	0	2	2	1	0	0	0	0	39.16
111.1047994	98.003074	8	1	2	0.714285714	5.82987013	2.875980975	1.338218727	0	0	0	1	0	0	1	0	1	1	2	1	0	0	0	1	26.02
153.1517496	134.003074	11	1	3	1	7.600932428	2.779864721	1.308641843	0	0	0	0	2	2	2	0	2	1	2	2	0	2	0	0	26.02
113.1204495	98.003074	8	1	2	1	6.085628141	2.058167191	1.47805616	0	0	0	3	0	1	1	0	1	1	2	1	0	1	0	3	26.02
127.0455703	117.975145	8	2	2	0.333333333	5.790548303	2.844928182	1.317146286	0	1	0	0	0	0	0	1	0	1	2	1	0	0	0	0	26.02
125.084064	113.9979886	9	2	2	0.428571429	6.361359223	2.688486328	1.326900337	0	1	0	1	0	0	0	1	0	2	2	1	0	0	0	1	39.16
129.0248348	121.9700596	8	3	2	0.2	5.721752306	2.790761369	1.280560096	0	1	0	0	0	0	0	1	0	2	2	1	0	0	0	0	39.16
129.0612204	117.975145	8	2	1	0.666666667	6.174223602	3.150668478	1.527587188	0	0	0	0	0	0	0	0	1	1	2	1	1	1	0	0	26.02
129.0612204	117.975145	8	2	2	0.666666667	6.174223602	3.150668478	1.527587188	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	26.02
131.0768704	117.975145	8	2	2	1	6.430336943	3.357969394	1.673790393	0	0	0	1	0	0	0	0	1	1	2	1	1	1	0	1	26.02
129.1153641	113.9979886	9	2	2	1	7.032107623	3.180475788	1.662813599	0	0	0	2	0	0	0	0	1	2	2	1	1	1	0	2	35.25
141.0248348	133.9700596	9	3	2	0.166666667	6.450048019	2.752394946	1.369721395	0	1	0	0	0	0	0	1	0	2	2	1	0	0	0	0	43.09
151.1360995	134.003074	11	1	3	0.8	7.354540142	2.978591424	1.342185349	0	0	0	3	2	1	2	0	2	1	2	2	0	1	0	3	26.02
153.1153641	137.9979886	11	2	3	0.888888889	7.28830283	2.593363416	1.198291074	0	0	0	3	0	2	2	0	2	2	2	2	0	2	0	3	43.09
117.0612204	105.975145	7	2	1	1	5.446798906	2.576418173	1.352335777	0	0	0	1	0	0	0	0	1	1	2	1	1	1	0	1	26.02
121.0527638	113.9979886	9	2	2	0	5.820039012	2.868211004	1.567199372	1	1	0	0	0	0	0	0	0	2	1	1	0	0	0	0	33.08
111.1047994	98.003074	8	1	1	0.714285714	5.82987013	2.313561484	1.099772906	0	0	0	1	0	0	1	0	1	1	2	1	0	0	0	1	26.02
125.084064	113.9979886	9	2	2	0.428571429	6.361359223	2.688486328	1.573506415	0	1	0	0	0	0	0	1	0	2	2	1	0	0	0	0	39.16
125.084064	113.9979886	9	2	2	0.428571429	6.361359223	2.688486328	1.573506415	0	1	0	0	0	0	0	1	0	2	2	1	0	0	0	0	39.16
125.1204495	110.003074	9	1	3	0.75	6.814942529	3.019067167	1.332905323	0	0	0	2	0	1	1	0	1	1	2	1	0	1	0	1	26.02
113.084064	101.9979886	8	2	1	0.666666667	5.790548303	2.286403302	1.081617873	0	0	0	2	0	0	1	0	1	2	3	1	0	0	0	2	46.25
113.1204495	98.003074	8	1	1	1	6.085628141	2.492201094	1.220642549	0	0	0	1	0	1	1	0	1	1	2	1	0	1	0	1	26.02
129.0589921	120.9963918	9	3	2	0.333333333	6.292399021	2.639049753	1.536009478	0	1	0	0	0	0	0	1	0	2	2	1	0	0	0	0	39.16
135.1047994	122.003074	10	1	2	0.333333333	7.288932462	3.373794183	1.578594458	1	1	0	1	0	0	0	0	0	1	2	1	0	0	0	1	26.02
135.0176413	125.947216	7	3	1	1	5.790548303	2.844928182	1.549857644	0	0	0	0	0	0	0	0	1	1	2	1	1	1	0	0	26.02
127.0455703	117.975145	8	2	1	0.333333333	5.790548303	2.286403302	1.081617873	0	1	0	1	0	0	0	1	0	1	2	1	0	0	0	1	26.02
141.0612204	129.975145	9	2	2	0.428571429	6.775473441	2.989942377	1.804947321	0	1	0	0	0	0	0	1	0	1	2	1	0	0	0	0	26.02
139.0633285	129.9929032	10	3	2	0.285714286	7.022233446	2.662619175	1.247379922	0	1	0	0	0	0	0	1	0	3	2	1	0	0	0	0	56.23
139.099714	125.9979886	10	2	2	0.625	7.476723586	3.516733871	1.672952222	0	0	0	0	0	0	1	0	1	2	2	1	0	0	0	0	43.09
141.1517496	122.003074	10	1	2	1	8.060401606	2.536710801	1.072642205	0	0	0	3	0	1	1	0	1	1	2	1	0	1	0	3	26.02
127.099714	113.9979886	9	2	1	0.714285714	6.775473441	2.119872869	1.141809603	0	0	0	1	0	0	1	0	1	2	3	1	0	0	0	1	46.25
141.1153641	125.9979886	10	2	2	0.875	7.73384216	3.71450068	1.805343651	0	0	0	0	0	1	1	0	1	2	2	1	0	1	0	0	43.09
139.0966175	125.9979886	12	2	2	0.25	4.74326555	3.224846567	1.739178486	1	1	0	0	0	0	0	0	0	2	3	1	0	0	0	0	46.25
145.0294416	136.9668413	9	3	2	0.333333333	6.647233294	2.895773546	1.732154491	0	1	0	0	0	0	0	1	0	2	2	1	0	0	0	0	39.16
145.0361485	136.9735482	9	3	2	0.333333333	6.706414435	2.939142785	1.765625204	0	1	0	0	0	0	0	1	0	1	2	1	0	0	0	0	26.02
109.0891494	98.003074	8	1	1	0.428571429	5.574408602	2.675461917	1.203430049	0	0	0	0	0	0	1	0	1	1	2	1	0	0	0	0	26.02
109.0891494	98.003074	8	1	1	0.428571429	5.574408602	2.675461917	1.203430049	0	0	0	0	0	0	1	0	1	1	2	1	0	0	0	0	26.02
111.0684139	101.9979886	8	2	1	0.333333333	5.378121547	2.52343859	1.10336463	0	0	0	0	0	0	0	0	1	2	2	1	0	0	0	0	35.25
111.0684139	101.9979886	8	2	1	0.333333333	5.378121547	2.52343859	1.10336463	0	0	0	0	0	0	0	0	1	2	2	1	0	0	0	0	35.25
111.1047994	98.003074	8	1	1	0.714285714	5.82987013	2.875980975	1.338218727	0	0	0	0	0	0	1	0	1	1	2	1	0	0	0	0	26.02
113.084064	101.9979886	8	2	1	0.666666667	5.633333333	2.721453287	1.234072022	0	0	0	0	0	0	0	0	1	2	2	1	0	0	0	0	35.25
113.1204495	98.003074	8	1	1	1	6.085628141	2.492201094	1.220642549	0	0	0	2	0	1	1	0	1	1	2	1	0	1	0	2	26.02
115.0633285	105.9929032	8	3	1	0.6	5.436986301	2.568834374	1.133044283	0	0	0	0	0	0	0	0	1	3	2	1	0	0	0	0	44.48
115.099714	101.9979886	8	2	1	1	6.046262626	3.048033944	1.456225286	0	0	0	0	0	0	0	0	1	2	2	1	1	1	0	0	35.25
115.099714	101.9979886	8	2	1	1	6.046262626	3.048033944	1.456225286	0	0	0	1	0	0	0	0	1	2	2	1	1	1	0	1	35.25
115.099714	101.9979886	8	2	1	1	6.046262626	3.048033944	1.456225286	0	0	0	1	0	0	0	0	1	2	2	1	1	1	0	0	35.25
115.099714	101.9979886	8	2	1	1	6.046262626	3.048033944	1.456225286	0	0	0	1	0	0	0	0	1	2	2	1	1	1	0	0	35.25
107.0734993	98.003074	8	1	1	0.142857143	5.319275766	2.478228729	1.073981897	1	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	26.02
108.079776	98.003074	9	1	1	0.142857143	4.098215458	2.478228729	1.073981897	1	1	0	1	0	0	0	0	0	1	2	1	0	0	0	1	26.02
151.1360995	134.003074	11	1	2	0.8	7.354540142	2.632554054	1.342185349	0	0	0	4	2	1	2	0	2	1	2	2	0	1	0	4	26.02
149.0332914	137.947216	8	3	1	1	6.775473441	2.989942377	1.569314512	0	0	0	1	0	0	0	0	1	1	2	1	1	1	0	1	26.02
125.0394359	116.9768356	8	2	1	0.166666667	5.741406045	2.806214595	1.290975311	0	1	0	1	0	0	0	1	0	1	2	1	0	0	0	1	26.02
141.109171	125.9979886	14	2	2	0.25	3.394163309	3.224846567	1.739178486	1	1	0	0	0	0	0	0	0	2	3	1	0	0	0	0	46.25
127.0455703	117.975145	8	2	1	0.333333333	5.918369705	2.946111312	1.386066946	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	26.02
127.0455703	117.975145	8	2	1	0.333333333	5.918369705	2.946111312	1.386066946	0	0	0	1	0	0	0	0	1	1	2	1	0	0	0	1	26.02
